table_name,column_name,datatype,arraysize,xtype,size,description,utype,unit,ucd,indexed,principal,std,column_index,format
ps,st_ageerr1,double,,,,Stellar Age Upper Unc. [Gyr],,Gyr,,0,0,0,194,7.3f
ps,st_ageerr2,double,,,,Stellar Age Lower Unc. [Gyr],,Gyr,,0,0,0,195,7.3f
ps,st_agelim,int,,,,Stellar Age Limit Flag,,,,0,0,0,196,10d
ps,st_agestr,char,200.0,,200.0,Stellar Age [Gyr],,Gyr,,0,0,0,197,200s
ps,st_mass,double,,,,Stellar Mass [Solar mass],,Msun,,0,1,0,198,6.2f
ps,st_masserr1,double,,,,Stellar Mass Upper Unc. [Solar mass],,Msun,,0,1,0,199,6.2f
ps,st_masserr2,double,,,,Stellar Mass Lower Unc. [Solar mass],,Msun,,0,1,0,200,6.2f
ps,st_masslim,int,,,,Stellar Mass Limit Flag,,,,0,1,0,201,11d
ps,st_massstr,char,200.0,,200.0,Stellar Mass [Solar mass],,Msun,,0,0,0,202,200s
ps,st_dens,double,,,,Stellar Density [g/cm**3],,g/cm**3,,0,0,0,203,8.4f
ps,st_denserr1,double,,,,Stellar Density Upper Unc. [g/cm**3],,g/cm**3,,0,0,0,204,8.4f
ps,st_denserr2,double,,,,Stellar Density Lower Unc. [g/cm**3],,g/cm**3,,0,0,0,205,8.4f
ps,st_denslim,int,,,,Stellar Density Limit Flag,,,,0,0,0,206,11d
ps,st_densstr,char,200.0,,200.0,Stellar Density [g/cm**3],,g/cm**3,,0,0,0,207,200s
ps,st_rad,double,,,,Stellar Radius [Solar Radius],,Rsun,,0,1,0,208,6.2f
ps,st_raderr1,double,,,,Stellar Radius Upper Unc. [Solar Radius],,Rsun,,0,1,0,209,6.2f
ps,st_raderr2,double,,,,Stellar Radius Lower Unc. [Solar Radius],,Rsun,,0,1,0,210,6.2f
ps,st_radlim,int,,,,Stellar Radius Limit Flag,,,,0,1,0,211,10d
ps,st_radstr,char,200.0,,200.0,Stellar Radius [Solar Radius],,Rsun,,0,0,0,212,200s
ps,ttv_flag,int,,,,Data show Transit Timing Variations,,,,0,1,0,213,9d
ps,ptv_flag,int,,,,Detected by Pulsation Timing Variations,,,,0,0,0,214,9d
ps,tran_flag,int,,,,Detected by Transits,,,,0,0,0,215,10d
ps,rv_flag,int,,,,Detected by Radial Velocity Variations,,,,0,0,0,216,8d
ps,ast_flag,int,,,,Detected by Astrometric Variations,,,,0,0,0,217,9d
ps,obm_flag,int,,,,Detected by Orbital Brightness Modulations,,,,0,0,0,218,9d
ps,micro_flag,int,,,,Detected by Microlensing,,,,0,0,0,219,11d
ps,etv_flag,int,,,,Detected by Eclipse Timing Variations,,,,0,0,0,220,9d
ps,ima_flag,int,,,,Detected by Imaging,,,,0,0,0,221,9d
ps,pul_flag,int,,,,Detected by Pulsar Timing Variations,,,,0,0,0,222,9d
ps,soltype,char,100.0,,100.0,Solution Type,,,,0,1,0,223,100s
ps,sy_snum,int,,,,Number of Stars,,,,0,1,0,224,8d
ps,sy_pnum,int,,,,Number of Planets,,,,0,1,0,225,8d
ps,sy_mnum,int,,,,Number of Moons,,,,0,0,0,226,8d
ps,st_nphot,int,,,,Number of Photometry Time Series,,,,0,0,0,227,7d
ps,st_nrvc,int,,,,Number of Radial Velocity Time Series,,,,0,0,0,228,8d
ps,st_nspec,int,,,,Number of Stellar Spectra Measurements,,,,0,0,0,229,9d
ps,pl_nnotes,int,,,,Number of Notes,,,,0,0,0,230,10d
ps,pl_ntranspec,int,,,,Number of Transmission Spectra,,,,0,0,0,231,13d
ps,pl_nespec,int,,,,Number of Eclipse Spectra,,,,0,0,0,232,13d
ps,pl_ndispec,int,,,,Number of Direct Imaging Spectra,,,,0,0,0,233,13d
ps,sy_pm,double,,,,Total Proper Motion [mas/yr],,mas/yr,,0,0,0,234,14.7f
ps,sy_pmerr1,double,,,,Total Proper Motion Upper Unc [mas/yr],,mas/yr,,0,0,0,235,14.7f
ps,sy_pmerr2,double,,,,Total Proper Motion Lower Unc [mas/yr],,mas/yr,,0,0,0,236,14.7f
ps,sy_pmstr,char,200.0,,200.0,Total Proper Motion [mas/yr],,mas/yr,,0,0,0,237,200s
ps,sy_pmra,double,,,,Proper Motion (RA) [mas/yr],,mas/yr,,0,0,0,238,14.7f
ps,sy_pmraerr1,double,,,,Proper Motion (RA) [mas/yr] Upper Unc,,mas/yr,,0,0,0,239,14.7f
ps,sy_pmraerr2,double,,,,Proper Motion (RA) [mas/yr] Lower Unc,,mas/yr,,0,0,0,240,14.7f
ps,sy_pmrastr,char,200.0,,200.0,Proper Motion (RA) [mas/yr],,mas/yr,,0,0,0,241,200s
ps,sy_pmdec,double,,,,Proper Motion (Dec) [mas/yr],,mas/yr,,0,0,0,242,14.7f
ps,sy_pmdecerr1,double,,,,Proper Motion (Dec) [mas/yr] Upper Unc,,mas/yr,,0,0,0,243,14.7f
ps,sy_pmdecerr2,double,,,,Proper Motion (Dec) [mas/yr] Lower Unc,,mas/yr,,0,0,0,244,14.7f
