sy_name,sy_snum,sy_pnum,cb_flag,st_rad
OGLE-2015-BLG-1771L,1,1,0,
Kepler-565,1,1,0,0.95
Kepler-444,3,5,0,
Kepler-665,1,1,0,0.83
KMT-2019-BLG-1953L,1,1,0,
Kepler-1564,1,1,0,0.64
Kepler-1302,1,1,0,0.84
GJ 251,1,1,0,0.37
Kepler-904,1,1,0,0.79
Kepler-1433,1,1,0,3.34
Kepler-934,1,1,0,1.12
HD 177830,2,2,0,
OGLE-2015-BLG-0966L,1,1,0,
Kepler-563,1,1,0,0.82
KMT-2019-BLG-0297L,1,1,0,
Kepler-799,1,2,0,0.9
Kepler-605,1,2,0,0.58
OGLE-2015-BLG-0954L,1,1,0,
OGLE-2019-BLG-0960L,1,1,0,
HD 167677,1,1,0,
Kepler-1178,1,1,0,0.53
MOA-2013-BLG-220L,1,1,0,
Kepler-791,1,1,0,1.32
Kepler-365,1,2,0,1.03
51 Peg,1,1,0,
Kepler-202,1,2,0,0.67
Kepler-178,1,3,0,
Kepler-896,1,2,0,
Kepler-1191,1,1,0,
Kepler-1119,1,1,0,1.0
OGLE-2016-BLG-1227L,1,1,0,
Kepler-382,1,2,0,0.87
Kepler-666,1,1,0,1.18
OGLE-2019-BLG-0468L,1,2,0,
KMT-2018-BLG-1990L,1,1,0,
HD 41004,2,2,0,
Kepler-1354,1,1,0,1.02
HD 102195,1,1,0,
Kepler-712,1,2,0,
Kepler-1000,1,1,0,1.48
OGLE-2016-BLG-1195L,1,1,0,
Kepler-1164,1,1,0,0.79
KMT-2018-BLG-1025L,1,1,0,
11 UMi,1,1,0,29.79
HD 7199,1,1,0,
OGLE-2019-BLG-1470L,2,1,1,
Kepler-443,1,1,0,0.71
Kepler-562,1,1,0,1.08
HD 178911,3,1,0,
Kepler-1655,1,1,0,1.17
KMT-2016-BLG-1836L,1,1,0,
alf Cen,3,1,0,
KMT-2018-BLG-1025L,1,1,0,
Kepler-1983,1,1,0,
HD 30177,1,2,0,
Kepler-1647,2,1,1,1.73
Kepler-462,1,2,0,2.6
70 Vir,1,1,0,
HD 142245,3,1,0,
Kepler-416,1,3,0,
Kepler-150,1,5,0,0.87
Kepler-203,1,3,0,
Kepler-1036,1,1,0,0.87
KMT-2021-BLG-1391L,1,1,0,
Kepler-938,1,1,0,0.83
Kepler-1387,1,1,0,0.7
Kepler-365,1,2,0,
Kepler-938,1,1,0,0.82
Kepler-293,1,2,0,0.79
Kepler-778,1,1,0,0.71
Kepler-1079,1,1,0,2.35
Kepler-1008,2,1,0,0.74
Kepler-879,1,1,0,1.0
Kepler-938,1,1,0,
Kepler-808,1,1,0,
Kepler-419,1,2,0,1.86
MOA-2010-BLG-328L,1,1,0,
OGLE-2016-BLG-1195L,1,1,0,
